,label,no_stop_words
0,0,"['thistl', 'subscript', 'ha', 'chang', 'work', 'home', 'life', 'salad', 'delici', 'price', 'fantast', 'still', 'oper', 'flawlessli', 'despit', 'current', 'situat', 'look', 'someth', 'easi', 'ashli', '30', 'limit', 'time', 'onli']"
1,0,"['bought', 'thi', 'toy', 'child', 'stay', 'away', 'ipadtablet', 'tv', 'promot', 'child', 'imagin', 'creativ', 'keep', 'away', 'attentionsuck', 'electron', 'order', 'wtvrdealscomrail']"
2,0,"['black', 'friday', 'purchas', 'actual', 'wont', 'regret', 'stop', 'second', 'guess', 'tri', 'new', 'favorit', 'energi', 'bar', '9', 'today']"
3,0,"['nutcrack', 'accompani', 'famili', 'warm', 'holiday', 'httpswwwjjhhtechshopproductsnutcrack']"
4,0,"['ohora', '’', 'new', 'collect', 'shop', 'right', 'away', 'httpsbitly37nasx3', '⠀', 'get', 'cold', 'outsid', 'need', 'snowi', 'weather', 'cup', 'hot', 'chocol', 'fluffi', 'sweater', 'new', 'nail', 'suit', 'outfit', 'vaniti', 'tabl', 'present', 'new', 'collect', 'add', 'littl', 'pleasur', 'nail', 'like', 'gentl', 'snow', '⠀', '⠀', '3', 'tip…']"
5,0,"['cyber', 'monday', 'extend', '30', 'sitewid', 'add', 'free', 'moistur', 'surge™', 'set', '85', 'order', 'code', 'joy30', 'plu', 'pick', 'free', '7piec', 'best', 'seller', 'kit', '65', 'order', 'exclus', 'appli', 'suppli', 'last']"
6,1,"['vote', 'candid', 'fight', 'famili', 'culinari', 'union', 'member', 'vote', 'elect', 'day', 'tuesday', 'novemb', '6th', 'poll', 'open', '7am7pm', 'line', '7pm', 'stay', 'line', 'vote', 'call', '702', '3837917', 'ride', 'poll']"
7,1,"['giveaway', 'alert', 'sir', 'duke', 'entertain', 'ha', 'partner', 'creat', 'justic', 'cfj', 'first', 'live', 'play', 'creat', 'festiv', 'take', 'place', 'saturday', 'januari', '16th', 'sunday', 'januari', '17th', '2021', 'thi', 'weekend', 'includ', 'seri', 'participantl', 'forum', 'masterclass', 'profession', 'demonstr', 'session', 'design', 'empow', 'anyon', 'look', 'explor', 'new', 'creativ', 'outlet', 'profession', 'endeavor…']"
8,0,"['love', 'order', 'httpsrebrandlye4dd349']"
9,0,"['best', 'time', 'tri', 'goli', 'gummi', 'offer', 'end', 'soon', 'enjoy', 'wonder', 'benefit', 'real', 'appl', 'cider', 'vinegar', 'delici', 'gummi', 'format', 'use', 'code', 'try30', 'checkout', 'goli', 'appl', 'cider', 'vinegar', 'gummi', 'crafter', 'well', 'help', 'support', 'healthi', 'nutrient', 'metabol', 'energi', 'product', 'immun', 'function', 'nervou', 'system', 'f…']"
10,1,"['famili', 'equal', 'none', 'forc', 'live', 'apart', 'current', 'unfair', 'system', 'make', 'refuge', 'famili', 'wait', 'year', 'end', 'reunit', 'sometim', 'separ', 'year', 'sometim', 'never', 'see', 'children', 'mother', 'brother', 'ever', 'join', 'us', 'call', 'govern', 'cut', 'red', 'tape', 'keep', 'familiestogeth']"
11,0,"['ace', 'reward', 'member', 'save', 'select', 'dewalt', 'power', 'tool', 'accessori']"
12,0,"['free', 'ship', 'buy', '4', 'get', '1', 'free', '1295', 'starkscom', '100k', 'shopper', 'approv', '3d', 'shape', 'keep', 'cover', 'away', 'face', 'speak', 'breath']"
13,0,"['unstopp', 'gear', 'readi', 'go', 'shop', 'offici', 'puma', 'site', 'today']"
14,1,"['give', 'back', 'sf', 'big', 'way', 'april', 'sf', 'month', 'climat', 'action', 'weve', 'got', '100', 'hand', 'event']"
15,1,"['put', 'big', 'problem', 'later', 'may', 'run', 'time', 'implement', 'solut', 'give', 'public', 'time', 'experi', 'benefit']"
16,1,"['presid', 'trump', 'nomine', 'suprem', 'court', 'could', 'jeopard', 'civil', 'human', 'right', 'decad', 'come', 'call', 'senat', 'donnelli', 'today', 'tell', 'stopkavanaugh', 'httpbitly2nuz56a']"
17,0,"['hey', 'craftpreneur', 'want', 'learn', 'damon', 'secret', 'plan', 'hi', 'year', 'design', 'promot', 'check', '455', 'page', 'thi', 'craftpreneur', 'design', 'planner', 'digit', 'download', '…']"
18,1,"['lowqual', 'public', 'health', 'servic', 'strict', 'law', 'harsh', 'stigmat', 'prevent', 'women', 'seek', 'care', 'put', 'live', 'risk', 'access', 'reproduct', 'health', 'care', 'could', 'prevent', '1', '3', 'death', 'complic', 'dure', 'pregnanc', 'childbirth', 'need', '374', 'passion', 'peopl', 'rais', 'voic', 'sexual', 'reproduct', 'health', 'befor', 'midnight', 'miss', 'respons', 'add', 'name']"
19,1,"['’', 'let', 'lumbar', 'disc', 'herniat', 'get', 'way', 'research', 'evalu', 'efficaci', 'new', 'treatment', 'leg', 'pain', 'associ', 'herniat', 'lumbar', 'disc']"
20,1,"['splc', 'presid', 'richard', 'cohen', 'speak', 'timothi', 'snyder', 'professor', 'histori', 'yale', 'author', 'tyranni', 'twenti', 'lesson', 'twentieth', 'centuri', 'theyll', 'discuss', 'democraci', 'moment', 'histori', 'ha', 'attack', 'peril', 'face', 'today', 'citizen', 'strengthen', 'america']"
21,1,"['former', 'us', 'attorney', 'western', 'pennsylvania', 'dave', 'hickton', 'talk', 'conor', 'lamb', 'record', 'feder', 'prosecutor']"
22,1,"['poverti', 'exist', 'becaus', 'feed', 'poor', 'becaus', 'satisfi', 'rich']"
23,0,"['perfect', 'gift', 'golden', 'girl', 'lover', 'order', 'httpsnewteesusjnj5d']"
24,0,"['subscrib', 'share', '“', 'timeout', 'black', 'histori', '”', 'youtub', 'get', 'histori', 'way', 'experienc', 'lifetim', '’', 'time', 'dive', 'enjoy']"
25,1,"['georgia', 'secretari', 'state', 'brian', 'kemp', 'gop', 'gubernatori', 'nomine', 'ha', 'place', '53000', 'wouldb', 'voter', 'hi', 'controversi', 'list', 'registr', 'discrep', 'doesnt', 'mean', 'cant', 'vote']"
26,0,"['long', 'await', 'januari', 'box', 'arriv', 'exclus', 'box', 'uniqu', 'handmad', 'mean', 'made', 'small', 'batch', 'whi', 'sell', 'veri', 'quickli', 'everi', 'singl', 'month', 'thi', 'month', 't…']"
27,0,"['arboretum', '’', 'winter', 'light', 'drivethru', 'show', 'keep', 'visitor', 'cozi', 'safe']"
28,0,"['went', 'charg', 'freelanc', 'client', '300', '20000', 'thi', 'jacques…']"
29,1,"['vote', 'democrat', 'cindi', 'zeldin', 'may', '22nd', 'insur', 'commission', 'cindi', 'fight', 'rise', 'insur', 'cost', 'put', 'famili', 'first']"
30,0,"['dalla', 'poker', 'club', 'member', 'onli', 'privat', 'social', 'club', 'membership', 'option', 'includ', 'individu', 'corpor', 'membership']"
31,1,"['peruvian', 'amazon', 'need', 'protect', 'hundr', 'indigen', 'commun', 'peru', 'recogn', 'ownership', 'right', 'ancestr', 'land', 'tremend', 'pressur', 'log', 'agricultur', 'expans', 'help', 'protect', 'right', 'ancestr', 'land', 'save', 'peruvian', 'amazon', 'today', 'httpsbuffly2epyqjn']"
32,0,"['give', 'away', 'free', 'coffe', 'one', 'winner', 'receiv', 'holiday', 'blend', 'whole', 'bean', 'bag', 'holiday', 'tote']"
33,0,"['pocketdrum', '2', 'power', 'portabl', 'drum', 'novic', 'pro']"
