,label,text
2923,0,"""My Thistle subscription has changed my work from home life. The salads are delicious and the prices are fantastic. They are still operating flawlessly despite the current situation if you're looking for something easy!"" -Ashly O. 30% OFF! Limited time only."
7881,0,"After I bought this toy for my child, he stayed away from ipad/tablet and TV. Promote your child's imagination and creativity while keeping them away from attention-sucking electronics! Order Here wtvrdeals.com/rail"
5131,0,A Black Friday purchase you actually won't regret! Stop second guessing and try your new favorite energy bar for just $9 today!
6552,0,"The Nutcracker, accompany you and your family through a warm holiday https://www.jjhhtech.shop/products/nutcracker"
6803,0,"ohora’s NEW COLLECTION - shop right away https://bit.ly/37nASx3 ⠀ It's getting cold outside and here's what you need for snowy weather! A cup of hot chocolate, a fluffy sweater, and new nails to suit your outfit. VANITY TABLE presents a new collection to add a little pleasure to your nails like a gentle snow. ⠀ ⠀ 3 tip…"
5118,0,"Cyber Monday extended. 30% off sitewide. Add a free Moisture Surge™ Set with $85 order. Code JOY30. Plus, pick a free 7-piece best sellers kit with $65 order. Some exclusions apply. While supplies last."
21332,1,Vote for candidates who will fight for our families Culinary Union member vote on Election Day Tuesday November 6th Polls are open 7am7pm If you are in line at 7pm stay in line and vote Call 702 3837917 for a ride to the polls
7054,1,"GIVEAWAY ALERT! Sir Duke Entertainment has partnered with Creating for Justice (CFJ) for the first Live. Play. Create. Festival taking place on Saturday, January 16th & Sunday, January 17th, 2021. This weekend will include a series of participant-led forums, masterclasses, and professional demonstrations. Each session is designed to empower anyone looking to explore a new creative outlet or professional endeavor.…"
6667,0,Love it Order here : https://rebrand.ly/e4dd349
8920,0,"It's the Best Time to Try Goli Gummies with our % , offer ending soon! Enjoy some of the wonderful benefits of REAL Apple Cider Vinegar in a DELICIOUS gummy format! Just use code: TRY30 at checkout! Goli's Apple Cider Vinegar gummies are crafter with and , as well as that helps support!: Healthy nutrient metabolism Energy production Immune Function Nervous System F…"
11928,1,All families are equal and none should be forced to live apart        But we currently have an unfair system that makes refugee families wait for years on end to reunite    Sometimes they are separated for years Sometimes they never see their children mothers or brothers ever again    Join us and call on our government to cut the red tape and keep      FamiliesTogether
4079,0,"Ace Rewards Members save on select DeWalt power tools, accessories & more!"
3911,0,"Free Shipping | Buy 4 Get 1 Free | $12.95 starks.com Over 100k Shopper Approved
3D Shape Keeps Cover Away From Face
Speak And Breath"
5025,0,Unstoppable gear that's ready to go. Shop the official PUMA site today.
62342,1,Give back to SF in a big way April is the SF Month of Climate Action and weve got 100 hands on events
3295,1,By putting off the big problems until later you may run out of time  both to implement the solutions and to give the public time to experience the benefits
15990,1,President Trumps nominee for the Supreme Court could jeopardize our civil and human rights for decades to come Call Senator Donnelly today and tell him to      StopKavanaugh     httpbitly2NUz56A
