ads,consensus
see how you are paying for lea marquez peterson is donors huge tax breaks,1
it is a dnc rule that a presidential candidate reach  in four polls and im excited to reach  in an early states poll but i need your help in getting k unique donors to get on september is debate stage donate  today,1
giant sharks whales and turtles  oh my this nonprofit art project is making giant sea creatures out of plastic pollution,0
people with uc often worry about when their next flare will happen and how this condition will affect their future,0
let us call this what it is republicans in congress just voted to put their campaign donors ahead of their constituents text not one penny to  now to be the first to know when your voice is needed to hold them accountable and stop this bill in the senate,1
"radical animal extremist group files petitions with the us surgeon general and president trump to close livestock markets
the covid pandemic has brought worldwide turmoil and a broad spectrum of problems from the physical effects the virus itself can have to the financial struggles of millions unemployed by widespread shutdowns add to this the unscrupulous animal extremist groups that are attempting to further their agenda in the wake of this pandemic many american families struggle to keep food on their tables as they face unemployment and the reality of a greatly disrupted national food supply chain one particular group the physicians committee for responsible medicine pcrm is actively seeking to exacerbate food insecurity in the united states by petitioning lawmakers to close live animal markets as well as meat processing plants
false claims and more petitions
on april   the group filed a legal petition for rulemaking with the us surgeon general to demand that all live animal markets in the united states be shut down immediately due to the role played by the wuhan china huanan seafood wholesale market in spreading the virus pcrm makes the false claim that any type of animal market has the potential to spread covid from animals to humans
in addition the group is petitioning president trump to rescind his order for united states meat processing plants to remain open pcrm is shameless maneuvering during a time when americans are already suffering from loss of income and shortages of essential goods demonstrates the group is incredible disconnect from reality disregard for the true wellbeing of the population and degree of extremist zealotry
with numerous meat packing plants closed or greatly limited due to a shortage of workers caused by covid america is getting a painful glimpse of what even a partial shutdown of the meat industry means for the publicsparsely stocked meat cases at the grocery store
meanwhile for some sectors of the animal agriculture industry even a limited number of closed plants have forced the euphemistically phrased depopulation of surplus animalsthousands of healthy finished meat animals wastefully destroyed for lack of somewhere to send them to be processed into meat and byproducts and no other options to house them
if pcrm had its way this situation would overtake all of animal agriculture in the name of covid and result in the entirely wasteful deaths of literally millions of animals that would otherwise become part of the nation is food and product supply chain the effects of such a grim and needless scenario would spread far beyond the direct ruin of producers the food industry would be far from the only one affected since byproducts of meat production are essential components in countless everyday items used by virtually every person in the united states
livestock is vital role in the overall food cycle
pcrm willfully turns a blind eye to the vital role that livestock production plays in the overall food cycle for example livestock can graze and thrive in areas that cannot be used to grow crops livestock can also utilize byproducts of crop production and other food waste that are unconsumable for humans in addition manure from cattle feedlots is used to fertilize crop fields that grow grains and vegetables
platform of fallacies
even in normal times and in the extremely unlikely scenario that the entire general populace would convert to veganism it would be impossible to sustainably and efficiently produce the sheer amount of plant products to feed and adequately nourish one nation much less the world
it is easy to see how pcrm is entire platform is based upon fallacies fallacies that are necessary for them to dupe people into supporting their agenda
given the group is long history of illveiled deceptions though it is really no surprise
prcmwho they really are
physicians committee for responsible medicine was founded in  by neal barnard barnard wrote  books between  and  and in  founded the barnard medical center as part of pcrm he was nominated for induction into the animal rights hall of fame in  barnard is training was in psychiatry but he has spent the majority of his career masquerading as an expert in nutrition promoting strict veganism and denigrating the use of animal products and animals in medicine and research this has all been under the guise of advocating for human health his namesake clinic adheres to the animal extremist ideology irresponsibly treating patients with veganism as blanket cure for all manner of diseases and conditions
less than  of prcm members are actual physicians
pcrm is name itself the physicians committee for responsible medicine is very blatantly and intentionally misleading currently less than  of reported members are actual physicians the true number of pcrm members that are genuine medical professionals is also highly questionable since anyone with or without credentials can join the watchdog group activist facts website states pcrm has successfully duped the media and much of the general public into believing that its pronouncements about the superiority of vegetarianonly diets represent the opinion of the medical community
prcm opposes lifesaving use of animals and campaigns against respected health charities
in addition to promoting veganism pcrm fanatically opposes the lifesaving use of animals in the medical field from research to the animalderived products essential for numerous medical materials and medicines the group has actively and aggressively campaigned against numerous widely respected health charities that support and utilize animal research to help cure human diseasesgroups such as the american heart association the american cancer society st jude children is research hospital the american foundation for aids research the christopher reeve paralysis foundation the american red cross and the march of dimes
prcm is harshly criticized by physicians and the american medical association
pcrm has been harshly criticized by a number of doctors and medical groups the american medical association ama once referred to pcrm as a fringe organization that employs unethical tactics and is interested in perverting medical science montreal quebec is mcgill university chemist dr joe schwarcz called pcrm a fanatical animal rights group with a clearcut agenda of promoting a vegan lifestyle that masquerades as a just scientific body
one former director of research for the center for consumer freedom stated neal barnard is using his latest book to disguise animal rights propaganda as medical advicemost americans are too smart to take dietary advice from peta but that is exactly what you get with barnard is antimeat recommendations
prcm has connections to radical animal extremist groups
it stands to reason that barnard and pcrm have had long and welldocumented interconnectedness with groups like the people for the ethical treatment of animals peta and other animal extremist groups including two that were considered to be domestic terrorist threats by the department of justice animal liberation front alf and shac stop huntingdon animal cruelty
former pcrm spokesperson dr jerry vlasak was quoted as saying i think there is a use for violence in our movement and i think it can be an effective strategy not only is it morally acceptable i think that there are places where it could be used quite effectively from a pragmatic standpoint and i dont think youd have to kill assassinate too many vivisectors before you would see a marked decrease in the amount of vivisection going on and i think for  lives  lives  human lives we could save a million  million  million nonhuman animals people get all excited about oh what is going to happen when the alf accidentally kills somebody in an arson well you know i mean i think we need to get used to this idea it is going to happen okay it is going to happen
pcrm does not openly advocate violence and thus distanced itself from vlasak but actively works to hide its ties to peta and other blatant animal extremist groups to help maintain the charade of being simply doctors advocating for human health
prcm founder has served as peta is medical advisor
the deep ties between pcrm and peta are not only ideological but have been financial and operational as well over the years barnard has shared professional and allegedly even personal relationships with peta is leader ingrid newkirk barnard has served as peta is medical advisor and has penned numerous articles as such he also served on the board of the peta foundation now known as the foundation to support animal protection
smoke mirrors and money
hundreds of thousands of dollars have been funneled to pcrm from peta via the foundation it is a common tactic among animal extremist groups to branch out and share members and leadership it serves as smoke and mirrors when resources are diverted or pooled among such groups as well as to present a facade of credibility to the public when such groups quote one another
it is easy to see why pcrm has been referred to as peta is labcoated sibling in ad campaigns similar to those of peta pcrm has claimed that animal products are equivalent to drugs and that feeding children animal products is the same as child abuse relying on shock value to catch attention and earn support from the uninformed examples of pcrm ads are an image of a corpse on a gurney holding a hamburger and of the wisconsin cheesehead on a grim reaper figure
in a time when concerns about public health are at the forefront it is reprehensible that pcrm is preying on society is fears to further their barelycloaked extremist agenda further to vie for the complete and total disruption of an already struggling food supply system and the unavoidable suffering that would follow is nothing short of sadism",1
your facebook friends probably are not politicians,0
green is greenscakescouk,0
did you hear city council just introduced legislation that takes the first step toward repealing the corrupt beverage tax contact your councilmember today to tell them we want a repeal,1
we are looking for adults with symptoms of borderline personality disorder for a clinical research study qualified participants may receive reimbursement for studyrelated travel health insurance is not required studyrelated care will be provided at no cost,1
