ad,emotional
"There was this little boy in Africa, he was only 1 year old and he died of hunger.",1
It breaks my heart,1
"You know a lot of children in this world go through hardships, and your destiny is determined on where you are born?",1
"Yeah, so the chances of being born in the United States are very low, but you and I could have been born in a third world country where children are exploited",1
There are several children around us who are below poverty line and needed a helping hand.,1
Millians of syrian children have grown up facing the threat of daily violence,1
In 2018 1000 children were killed in violence,1
IN 2018 alone 1000 children were reportedly killed or injured in violence.,1
Most of these children have grown up facing the threat of daily violence.,1
ESpecially since children are being specifically targeted for rape and torture.,1
Some are being sold to ISIS,1
"True, but nothing and something are pretty different things.",1
Especially to a kid that is facing a future as a sex slave.,1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
"Yes, Hope you aware whats going with child who died from hunger",1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
"So many poor kids around the world don't have food, clothing, shelter.",1
"I am supposed to ask you if you care about people being killed in Syria and things like that, I don't want to cause you any emotional discomfort by talking about suffering people.",1
"I think the refugee crisis is crazy, I am not sure what I would do if I was raising my kids in Syria.",1
If anyone could have fun in those spots it's kids though.,1
I read an article yesterday that said 1000 children were saved from hunger shelters just by donations from online workers.,1
"There is  a lack of support for children in developing countries, especially in war zones.",1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
Its a lot of children that are starving and need our help.,1
"For example, millions of children in Syria grow up facing the daily threat of violence.",1
It is really difficult having to grow up having to worry about basic needs.,1
I'm glad you are able to look for what to be grateful for.,1
I guess there are more people than we know who grew up with no worries.,1
Many children in these countries live in a war zone.,1
"Places like Syria and parts of Nigeria are so dangerous that children do not have the chance of a happy, healthy life.",1
Especially for the children in war zones where they are dying every day because they cannot get enough medical care.,1
I am sure that you have seen pictures of the bombing in Syria and the murder of innocent children in places like Nigeria and Somallis where terrorists are bombing their villages.,1
These children have no hope except for people like you and I.,1
"Everyday 16,000 children die before their 5th birthday, 1 out of 80 flee the country and risk everything, and 1 out of 6 kids aren't enrolled in a school or getting education that they need",1
"Did you know in the first two months of 2018 alone, over 1,000 children were killed or injured seriously by violence in Syria?",1
What do you think of the kids who weren't born as lucky?,1
Who have to worry about having enough to eat to even be full?,1
With no place to live?,1
Not everyone has it so it's good that you appreciate it,1
my parents were always in a good situation to be able to raise me well.,1
but there are a lot of kids in the world who arent so fortunate',1
1000 children were killed or injured and the donations can address these problems.,1
I have a son and I can't imagine seeing him hungry or in pain or afraid of being killed.,1
i want to help all the children in the world,1
Children everyday are dying of hunger and violence so it's really important to donate to help them.,1
do you know many kids in the world are suffering,1
But think of all of the poor children.,1
Have you no empathy?,1
There are poor children all over the world who don't have enough food to eat and Save the Children goes out to help them.,1
I don't waant anyone to go hungry.,1
"Yes, and our children need help they are our future without them we are nothing.",1
The amount of suffering that children around the world face is terrible.,1
"For example, in the first two months of 2018, a thousand children in Syria were injured in the violence there.",1
Anything you can add to the donation will go directly to helping them.,1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
there are many children who suffer today in the world for bread,1
"As you know, unfortunately, everyone wasn't born into the same opportunities.",1
"Some are born extremely well off, some are born with some opportunities and some are born completely destitute.",1
I'd like to talk about children who weren't born with the same as opportunities.,1
Particularly children who go hungry everyday and have no place to live.,1
How does that make you feel?,1
I felt safe and secure in my home.,1
That is absolutely wonderful.,1
I feel many people take that for granted.,1
Not having to worry about those things while growing up.,1
It would be great if we could work together to assure that everyone have at least those basic necessities met.,1
I feel heartbroken for some of these kids.,1
It just sucks that millions of Syrian children have grown up facing the daily threat of violence.,1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
This makes me angry and was wondering if it did the same for you?,1
"Well one statistic that in 2018 alone over 1,000 children were killed or injured in Syria.",1
This charity's goal is to help them out.,1
The stand of living in developing nations does not compare with our own.,1
Most of these nations are war zones and children face this daily threat of violence against them.,1
Everybody deserves the option to be happy.,1
We all should have equal opportunity to be happy and succeed in life.,1
It is a shame many children die of hunger everyday while some people spend money on stuff they do not need,1
We have many children who starve and die of hunger.,1
You donation will stop this from happening and possible save a child's life,1
We have not received much support for these children.,1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
Your donation could possible go to this problem and help many young children,1
Children in underdeveloped countries do not have the support that other kids have and I just want to give them a chance to improve their lives.,1
There was a child who died of hunger and I think my donation will help other children.,1
"I just read that The United Nations estimated last year 25,000 people still die of hunger daily.",1
That means more than 9.1 million people die of hunger every year.,1
It makes me angry to know of so many children in danger in the world.,1
Especially if that story of a child who died makes you angry like me.,1
It's so easy we won't even miss it.,1
Think of the poor kids in Syria who could get so much for the price of a coffee in Chicago.,1
"But you have a full time job, food, shelter and I'm sure you have family and friends.",1
"These kids families were murdered and they live in rubble that used to be their home, nobody to care for them and they only eat what they can find off the street from the dead.",1
If they eat at all,1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
Can you imagine living in extreme violence?,1
"Did you know that in Syria, 1,000 children were killed in just the first two months of 2018?",1
I understand but these children have even less than us.,1
I'm sorry to hear you are having a hard time.,1
"I have hard circumstances too, but I know there are millions of children that are worse off.",1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
