ad,emotion
imagine carrying a heavy jug of water home knowing that after all your effort it might make your family sick safe water at home gives women and their families time and health empower women with safe water and you can change their world,1
greedy corporations have turned our food system into a nightmare every day giant factory farms pump toxic pollution into our waterways and accelerate the climate crisis with tons of greenhouse gas emissions we need  more signatures on our new petition to help ban factory farming now but your signature is still missing please add your name now before the midnight deadline,1
𝐎𝐍𝐋𝐘  𝐑𝐀𝐑𝐄 𝐑𝐄𝐃 𝐅𝐎𝐗𝐄𝐒 𝐑𝐄𝐌𝐀𝐈𝐍   𝐏𝐌 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄 𝐓𝐎 𝐃𝐄𝐌𝐀𝐍𝐃 𝐏𝐑𝐎𝐓𝐄𝐂𝐓𝐈𝐎𝐍 sierra nevada red foxes are among the rarest and most endangered subspecies of their kind  and their population is now so small that if we do nothing theyre basically condemned to extinction were fighting to protect vulnerable species like the sierra nevada red fox but we need your help before its too late we need  more signatures on our petition before midnight but your name is still missing please while we still have the chance to save a critical species add your name now to demand that the department of the interior protect the endangered species act,1
"on the  feb ukrainians woke up to the sound of explosions russia has announced a fullscale war from that time on the lives of ukrainians are in danger russian troops are bombing and shelling numerous ukrainian cities towns and villages right now they destroy our homes shell kindergarten and orphanages many people cannot leave bomb shelters because of constant attacks and women give birth right there 
now the ukrainian army fights back to defend our country men and women join the ranks of volunteers to protect their hometowns and loved ones civilians unite to help each other and counteract russia is fake news now we are strong and united and now more than ever we need your help support the ukrainian army to defend ukraine and the world is peace",1
"every day thousands of girls become child brides  are forced to say i do
this valentinesday you can help them claim their right to say idontjoin unfpa to endchildmarriage and take action today  unfpavday",1
many neglected diseases are also climatesensitive the worlds most vulnerable populations will once again bear the biggest burden its time to develop safe effective and affordable treatments for the most neglected,1
"theres no time left for promises climate change is already affecting us and getting worse but one solution can help right now protecting forests
thanks to you with our partners we have worked to protect millions of acres of forests over the last  years help us do more",1
horror is unfolding in southern madagascar the world must not look away if we dont act now the number of people facing catastrophe will double will you donate to help save lives,1
"the answer is very simple fear fear is always the one thing that stands between you and achieving your goals
for those who want to become confident and naturally motivated i opened up our new transformational experience the day no fear challenge",1
"please signchina is horrific annual yulin dog meat festival is happening next month thousands of dogs will be stolen crammed into trucks and driven for dayssick hungry and afraidonly to then be brutally slaughtered for their meat
sign and demand china end all dog and cat meat trade cruelty including the yulin festival now",1
act now the world is watching in shock as the deadly coronavirus continues to spread the exact origins are unknown but its clear that the wildlife trade poses a dire threat to public health please help reduce the spread of disease by urging all countries to permanently ban the wildlife trade,1
to drop bombs on babies and expectant mothers is an act of cruelty for which there can be no justification,1
"theres no time left for promises climate change is already affecting us and getting worse but one solution can help right now protecting forests
thanks to you with our partners we have worked to protect millions of acres of forests over the last  years help us do more",1
the situation of women in afghanistan has been deteriorating since the taliban takeover parliament members have condemned talibans focus on erasing women from public life and denying their most fundamental rights and call on them to ensure access to education for all afghan women and girls,1
"being in the classroom is not just about learning
outofschool children are at greater risk of violence abuse and exploitation
after two years of covid disruptions governments must urgently get every child back into education",1
"you can help rescue bears like clara
she was found in a tiny dirty cage in a restaurant car park surrounded by piles of rubbish noise and car fumes
clara had been suffering here for over a decade likely ripped from her mother as a cub then trafficked into a horrendous life of constant bile extractions
thankfully she was rescued and brought home to our sanctuary in vietnam clara is now safe and no one will ever hurt her again
will you donate today to bring every last bile bear home",1
urgent help us help them  animals have arrived in poland alongside two million refugees from the ongoing conflict they were forced to flee their homes to survive our partner organisation toz  society for the prevention of cruelty to animals are doing the impossible to provide immediate help but they are low on funds these animals desperately need your help please donate today,1
"this is an 𝗘𝗠𝗘𝗥𝗚𝗘𝗡𝗖𝗬
 please listen to the cries of the ummah
  𝗠𝗜𝗟𝗟𝗜𝗢𝗡 afghans are living on the brink of 𝗙𝗔𝗠𝗜𝗡𝗘
 millions rely solely on humanitarian aid to survive
𝗢𝗻𝗲 𝗨𝗺𝗺𝗮𝗵 are on the ground right now in and around 𝗔𝗳𝗴𝗵𝗮𝗻𝗶𝘀𝘁𝗮𝗻 providing 𝗘𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝘆 𝗔𝗶𝗱 to those who are most in need this ramadan do not forget the multiplied rewards for saving lives and feeding the fasting
𝐃𝐎𝐍𝐀𝐓𝐄 𝐍𝐎𝐖",1
"you can make a difference this year donate now and for a limited time your gift will have triple the impact to help millions of scared and abused animals who are suffering in silence right now
your gift makes you a membera valuable part of our mission to help animals who have no voice and need us the most will you help",1
"dear readers
russian nazis do not stop exterminating the people of ukraine
today russian nazis shelled kharkiv several times including with banned cluster munitions for mlrs it is known about  wounded and five dead including children
we ask you to write call your politicians with a request to immediately increase and speed up the supply of weapons
we are able to protect ourselves and we will do it to the last breath
do not stand aside help us protect our people",1
"shelling killed her mother
without an urgent end to war in ukraine how many more innocent lives will be lost how many more children wounded or traumatized
sixyearold milana is recovering from surgery on her legs at a children is hospital in kyiv after being injured in an attack thanks to dedicated doctors her wounds will heal but the death of her mother will scar her for a lifetime
as unicef delivers lifesaving medical supplies to hospitals across ukraine children need peace now",1
