ads,moral_appeal
we will abolish abortion but we need your help,1
so far congress has overlooked usaid is importance in innovation for covid this is something that should be remedied as lawmakers prepare a new round of coronavirus appropriations bitlycwu,1
to protect our democracy ensure equal representation and elect leaders who will prioritize the most pressing issues of our time we need to end gerrymandering add your name to agree with president obama fair redistricting should be a top priority,1
a virtual rally wasnt exactly what the poor peoples campaign had planned when they chose,1
are federal agencies violating the law by failing to preserve instant messaging records check out our new report httpbitlyuentuz,1
in congress georgette will take on the nra gun lobby to pass real meaningful reform that gets military style assault weapons off our streets and keeps our children safe,1
mob rule or the rule of law thats whats on the line in this years elections you all saw how the leftist mob tried to tear down justice kavanaugh justice tom parker is next parker is served for thirteen years on the alabama supreme court as a strong but independent conservative voice parker is taken on and beaten the southern poverty law center and been outspoken that roe v wade and obergefell were wrongly decided and parker is a strong supporter of president trump and his efforts to put more conservatives on our federal courts the leftist mob doesnt like that they want judges who will overturn our laws and look the other way when the leftist mob tries to destroy our society justice tom parker asks for your vote to keep alabamas courts a place where the rule of law is respected and not where the mob rules,1
transalta is ready to launch alberta is first largescale battery storage project with new technology from tesla that could prove to be a gamechanger for renewable energy availability as the cost of batteries decrease experts say there is an opportunity for rapid growth in storage,1
at this critical moment for farmers and the environment thank you senator amy klobuchar for stepping up and defending family farmers and the programs that make them successful,1
wind turbines are encroaching on scenic texas country because of taxpayerfunded subsidies,1
follow me if you agree climate disruption is the biggest challenge our planet faces  and,1
dear northeast neighbors now more than ever we need to come together to help portland and our communities to persevere through these difficult times join me at the first online roundtable to discuss ideas to move our city and community forward,1
by nehemiah frank okla  school districts and charter schools in oklahoma are fighting for crumbs due to the states prolonged budget crisis the two largest school districts in oklahoma tulsa public schools and oklahoma city public schools boards are now considering getting involved in the lawsuit the oklahoma public charter school association opcsa filed against the states board of education in the okla   more words  httptheblackwallsttimescompublicandchartersschoo,1
unrig roundtable is back were tackling digital warfare how you can protect yourself and our democracy well hear from baroness beeban kidron house of lords documentarian shoshana zuboff author and scholar at harvard business school ben scott the executive director of reset and policy amp advocacy advisor at luminate and representus cofounder joshua graham lynn on how we can protect ourselves and our democracy from digital manipulation  and why its more urgent now than ever,1
breaking the republicans disastrous budget cuts billions of dollars from medicaid to give tax breaks to the wealthy no the house and senate already passed their versions of the bill we cant let this go any further grassroots democrats cannot cant let this pass protect medicaidgtgtgt,1
in a special issue of accents de provence we pay tribute to the agents mobilized since the start of the health crisis,1
lexington early release days afterschool programs thursdays september th  october th pm  pm grades  pm grades  amp  signup now,1
where do we the get our ideas of right and wrong good and bad and what has become of the spirit of liberty,1
let is change the future together your help can provide amazing patient care for those who need it,1
together we are going to deliver on our promises with strong action on climate change getting guns off the streets and continuing to invest in our middle class,1
everyone wants the best for their family good paying jobs access to a good education and affordable healthcare i promise to defend those values in the statehouse i humbly ask for your support this election,1
make welfare a safety net not a fishing net benjamin franklin once made the wise observation that we should make people uncomfortable in their poverty to encourage them to better their situation this statement was made when we were forming a new society and basically creating something out of nothing our society has grown and matured to a point where it is totally possible for someone to everything in their power and still not succeed simply because the corner of the mar  ket they can fill has been filled in their area or market forces have changed and they are not equipped to move with it with this growth we are in a position that it is possible to have a large percentage of the population participating in activities that are not necessarily adding to the economy but adding to society as a whole the modern incarnation of welfare is set up in a manner where when someone has fallen to a degree that they must call on the generosity of the welfare system they will almost always be soon faced to make a choice of cutting the net and going not having anything to fall back on if things go wrong or stay in the net and not have to worry this proposition is not only not fair but it dehumanizes the individual and makes them feel useless if they stay in but also stacks the deck against them and makes it almost impossible to succeed we no longer have to make people uncomfortable in their poverty but need to set up a system that less resembles a fishing net but instead is a safety net where they can start in the net and work themselves out of it at a pace where they are comfortable and learn at a pace that they can manage this system would also need to allow people to retire have adequate medical care and provide incentives participate in society this may seem like a far fetched dream but i actually envisioned a plan that would do this and more  years ago at the time nobody saw a need but in our current environment with most of the population facing reduced income i believe the time has come to reintroduce the idea the cornerstone of this plan is to establish a baseline where one could maintain a comfortable life style to find a tax baseline this amount would need to be doubled for every individual who is not claimed as a dependent on another is taxes every penny up to that amount would not be taxed for the purposes of this illustration let us say the tax baseline is  if an individual had no income they would receive  in monthly installments for the next year if a person made  outside the refund amount they would receive  this amount would be calculated by subtracting their income from  and they would get a rebate of half that amount so if someone made  they would get  this setup would allow everyone to pay for their living expenses even if they will not or cannot work and would keep people from gaming the system by collecting from multiple welfare programs while offering a chance to not get cut off completely while they work to better themselves in addition to the cornerstone there would be two classes of adjustment so that special circumstances could be taken care of the first class of adjustment would be adjustments to income certain expenses would be deductible so that if you had to spend money on medical expense for example these expenses could be subtracted from their income the second class of adjustment would be changing the tax baseline the two main ways this would be used are to cover for social security being discontinued and to give incentive for people to pursue occupations such as teaching being a doctor or other less than appealingdifficult occupations i mentioned social security in the last paragraph for those that have paid into social security they would still get their checks but it would lower their tax baseline by the amount of the benefit received and eventually be phased out it may have occurred to you that this system could be very expensive the aspect that could make up for the bottom end of the income spectrum is those who is income surpassed the tax baseline if someone had an income of  only the income above the baseline would be taxable but it would be taxed at a rate of  so this person would have a tax bill of  which would be an effective rate of  for the well off this would still be a tax rate close to what they are paying today ive said that a tax bill is a rich man is playground the more involved a law is the more room is has for loopholes exceptions and possibilities for fraud by simplifying the laws the increases in payouts to those on the lower end of the spectrum would be made up for the wealthy who would have fewer exceptions and higher tax bills this outline is not complete mainly due to a desire to not write for the next  hours lol there would need to be stipulations for the disabled retired individuals veterans and many other groups that deserve special attention the main thing is to point out that there are options and a complete overhaul to repeal and replace our existing tax code is not unrealistic addition a couple people have asked me what is wrong with the fair tax i have read some information about the fair tax and i did not have to read very far to see what my main objection would be the fair tax adds an extremely high sales tax to nonessential purchases my plan does eliminate all payroll taxes including social security it also allows adjustments for medical expenses i did not include the idea of a debit card in my original writing but the card could be used for qualifying medical expenses for those with medical conditions as a means to cover expenses that would be covered under the plan i am not in favor of socialized medicine but i do believe a two tier system where basic care would be free while those who can afford advanced care could have insurance or pay cash for it,1
had enough of paul ryan putting special interests ahead of working families join randy,1
as scott pruitt is cozy ties to lobbyists and excessive use of taxpayer dollars for his own benefit have come to light in recent weeks his environmental attacks have also suffered a string of defeats in court,1
