,ad,neg_emo
0,see why everyone is celebrating at hoblit dodge we have shown the community since  that hoblit dodge is the only no hassle no pressureever dealer now click and see all the great deals hoblit has created for you this march,0
1,help give people without a home a chance to leave homelessness behind for good by taking on the,0
2,i am so proud of what this grassroots team has accomplished  but weve still got a lot more to do chip in today to keep our progress moving,0
3,we have until march st to raise money for our final endofquarter goal before the primary election on june  your donation counts now more than ever so we can reach as many voters as possible before ballots go out in the mail,0
4,learn how to use the new staffing law to improve safety for patients and frontline healthcare professionals,0
5,we have a huge fundraising deadline coming up on march  at midnight can you please make a contribution before our endofquarter deadline and help us take the lead in this race,0
6,its time for action elections are not won overnight winning in november starts with your support right here and right now,0
7,urgent the supreme court has allowed texas unprecedented abortion ban to stay in effect  taking away many peoples ability to access abortion across the state  and seems poised to overturn or gut roe v wade later this year,1
8,get ahead and assess your individual andor business personal property today its quick and easy the deadline to assess your personal property without penalty is may  ,0
9,contact your ohio state legislators today and urge them to pass hb ,0
10,safe staffing is the law has your facility created a staffing committee yet join a town hall for nurses and direct caregivers to learn about a new law to help us advocate for our patients and practice,0
11,imagine carrying a heavy jug of water home knowing that after all your effort it might make your family sick safe water at home gives women and their families time and health empower women with safe water and you can change their world,1
12,"individually we are all responsible for our own thoughts and actions 
all day every day",0
13,"as a feature of womens month  councillor dianeli aranda with the portfolio of women youths and children affairs and the san pedro town council in partner with martin dawson present free women is self defense class on thurs march th   am next to saca chispas field infront of water terminal
to join call councillor dianeli aranda  deadline to signup is wed march th at pm",0
14,hey everyone we just turned  years old as a business last month pictured below are some of the nicer autographshits weve pulled out of sports card boxes for our customers in the last  years youre going to want to read on also,0
15,tightrope walk between jobs and environment  how to balance it together as india is economy emerges out of the covid slowdown a panel of experts finds solution,0
16,branded and nonbranded clothing stocks and surplus  pieces to  pieces we supply worldwide,0
17,hon mike pence spoke at the world summit  on the possibilities of the reunification on the korean peninsula he was joined by other world leaders who share the beliefs on peace and prosperity for all,0
18, has been a recordbreaking year for antiabortion legislation  more than  abortion restrictions have been passed across the country its more urgent now than ever that we defend our reproductive freedom join the fight to protect abortion access,0
19,once the election is called you will only have seven days to register to vote or to update your enrolment if you are a firsttime voter head to wwwaecgovau to register to vote or check your enrolment and encourage your young friends and family to do the same this is really important,0
20,food  water action is fighting to end factory farming for good its the only way to end animal cruelty and stop toxic pollution throughout our entire food system but we need your help to take on big agriculture and win,1
21,halfhearted reforms just arent good enough we demand that congress pass the farm system reform act to ban all new factory farms immediately but were  signatures short on our petition and we still havent heard from you please will you sign our urgent petition before the deadline at  pm,0
22,"this earth day comes after one of the hottest years ever on record
climate change is intensifying faster than before there is no planet b make an urgent gift to protect our future",0
23,urgent polling shows that we need to keep our ads up to flip ohio blue the gop has already spent  million to buy ohios open senate seat so we just went up on tv earlier than expected ill be honestthis wasnt in the budget so that means we run the risk of not being able to keep them on the air for long enough to make a difference i need your help to have the resources to keep our ads up from now until election day can you rush  or  to my campaign so we can afford to keep the pedal to the floor,0
24,friday is north carolinas online voter registration deadline dont miss your chance to vote in the primary election register now,0
25,greedy corporations have turned our food system into a nightmare every day giant factory farms pump toxic pollution into our waterways and accelerate the climate crisis with tons of greenhouse gas emissions we need  more signatures on our new petition to help ban factory farming now but your signature is still missing please add your name now before the midnight deadline,1
26,in just a few days my campaign will be legally required to report how much money weve raised and how many people have contributed to our campaign our opponents and the press will be watching to see if we have the grassroots support it takes to win thats why were setting a bold goal of  grassroots donors before april rd and we need your help,0
27,we are about to hit our biggest deadline yet and right now brian kemp has outraised us donate now to close the gap,0
28,we are about to hit our biggest deadline yet and we have set a  goal chip in now to stand up to brian kemp  the gop,0
29,𝐎𝐍𝐋𝐘  𝐑𝐀𝐑𝐄 𝐑𝐄𝐃 𝐅𝐎𝐗𝐄𝐒 𝐑𝐄𝐌𝐀𝐈𝐍   𝐏𝐌 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄 𝐓𝐎 𝐃𝐄𝐌𝐀𝐍𝐃 𝐏𝐑𝐎𝐓𝐄𝐂𝐓𝐈𝐎𝐍 sierra nevada red foxes are among the rarest and most endangered subspecies of their kind  and their population is now so small that if we do nothing theyre basically condemned to extinction were fighting to protect vulnerable species like the sierra nevada red fox but we need your help before its too late we need  more signatures on our petition before midnight but your name is still missing please while we still have the chance to save a critical species add your name now to demand that the department of the interior protect the endangered species act,1
30,"ukraine needs your support
any donation you provide helps save ukraine and ukrainians it is time to support of peace and democracy",0
31,"on the  feb ukrainians woke up to the sound of explosions russia has announced a fullscale war from that time on the lives of ukrainians are in danger russian troops are bombing and shelling numerous ukrainian cities towns and villages right now they destroy our homes shell kindergarten and orphanages many people cannot leave bomb shelters because of constant attacks and women give birth right there 
now the ukrainian army fights back to defend our country men and women join the ranks of volunteers to protect their hometowns and loved ones civilians unite to help each other and counteract russia is fake news now we are strong and united and now more than ever we need your help support the ukrainian army to defend ukraine and the world is peace",1
32,"the most senior figures in the political and security establishments will take part in this year is inss annual conference
do not miss the year is most interesting event with fascinating speeches and panels that you will certainly want to hear on everything happening in israel and the region
so without delay sign up now for all the details and free registration",0
33,if you are a developer who wants to make a difference in our highly competitive world this is how now is the time to raise your skills and become an awesome programmer,0
34,learn the greatest tips  tricks from the world is most brilliant minds uptime is here to help you become a better you learn more today,0
35,committed to protecting our planet one journey at a time between  and  the number of miles driven on our roads increased by  swap your car for your bike for shorter journeys and help reduce greenhouse gasses that are stifling ourplanetitt is high time for a change let the bicycles replace the cars on the road on world car free day,0
36,"every day thousands of girls become child brides  are forced to say i do
this valentinesday you can help them claim their right to say idontjoin unfpa to endchildmarriage and take action today  unfpavday",1
37,over  families schools and associations will be able to plant harvest and consume organic vegetables compost biodegradable waste and enjoy more time outdoors check out the pictures,0
38,"yearold danylo is not only battling cancer but trying to survive through the war in ukraine
fleeing his home twice getting a blood transfusion in a bunker having microsurgery on his lung during the bombing and not knowing if he will get to poland in time for his next chemotherapy  none of it can take away danylo is strength and determination
i am ready to fight for my life whether it is cancer or war
children like danylo have no time to lose they need peace now",0
39,many neglected diseases are also climatesensitive the worlds most vulnerable populations will once again bear the biggest burden its time to develop safe effective and affordable treatments for the most neglected,1
40,"the number of outofschool children in south africa tripled during the covid pandemic
when classrooms are closed students miss out on more than learning  they miss out on nutritious food time with friends and a safety net",0
41,"having won over  international awards birth time the documentary is now available to stream right here anywhere anytime
exploring what it would take for women to emerge from their births feeling innately powerful physically well and emotionally safe
its time for womens needs at birth to be heard itstime",0
42,we are live with climate activist anuna de wever and member of the parliament niklas nienaß questions about climate and the road to cop post them in the comments,0
43,"djibouti faces extreme water scarcity exacerbated by population growth and climatechange
pastoral communities are taking action to build climate resilience",1
44,"theres no time left for promises climate change is already affecting us and getting worse but one solution can help right now protecting forests
thanks to you with our partners we have worked to protect millions of acres of forests over the last  years help us do more",1
45,"in times of conflict its imperative that we dont give up hope and that we remember those who have faced violent challenges on a local and global stage and stood up for peace and equality
thats why this week were highlighting european commission peace scholars who have fought for justice in their own way we hope their stories will inspire hope during this time of increasing conflict around the world
starting with achaleke leke and how he turned his experiences into a tool for supporting others",0
46,did you miss the t summit relive the daylong event and watch its discussions panels and keynotes again,0
47,horror is unfolding in southern madagascar the world must not look away if we dont act now the number of people facing catastrophe will double will you donate to help save lives,1
48,want to have your voice heard in the eu parliament member daniel freund is explaining how you can take part in the conference on the future of europe post your questions and comments now,0
49,"if we do not act now in less than three decades the world is oceans will contain more discarded plastic than fish 
between now and june  join the fight against marine plastic pollution and runfortheoceans
for every kilometer you run walk or wheelchair and log in the adidas running app adidas and parleytv will clean up the equivalent weight of  plastic bottles up to  pounds from beaches and islands",0
50,"the answer is very simple fear fear is always the one thing that stands between you and achieving your goals
for those who want to become confident and naturally motivated i opened up our new transformational experience the day no fear challenge",1
51,"please signchina is horrific annual yulin dog meat festival is happening next month thousands of dogs will be stolen crammed into trucks and driven for dayssick hungry and afraidonly to then be brutally slaughtered for their meat
sign and demand china end all dog and cat meat trade cruelty including the yulin festival now",1
52,join our discussion on lgbtiq rights and parliaments call to declare the eu an lgbtiq freedom zone ask your questions to members maria walsh and evin incir below,0
53,"battery summit   free online conference
we invite everyone to discuss how batteries will promote competitive sustainability and why they are necessary for green transport clean energy and to achieve climate neutrality by ",0
54,did you register to vote in georgia you can vote in the senate runoff elections but you must act now,0
55,watch the state of the european union live with european commission president ursula von der leyen at the european parliament and the reactions from members strongertogethereu,0
56,"we must rebalance our relationship with nature to prevent future pandemics like covid
were calling for change
tell world leaders to act now",0
57,learn from st francis how every act in good faith uplifts and restores our world  and why its never too late to resolve conflicts through meaningful acts of compassion kindness and courage,0
58,dicover recent trends on cybersecurity in the eu from policy and regulatory perspective the interview is about the eu leadership on cybersecurity new cybersecurity strategy the revision of the nis directive the digital services act the postcovid new digital world and the role of the eu,0
59,live with pascal canfin chair of the parliaments environment public health and food safety committee questions on the european green deal and the green recovery plans ask them below and stay tuned,0
60,"this is not only a month of fasting and prayer but a month of giving for the sake of allah the prophet ﷺ was always charitable and he never refused anyone who asked him for help but when ramadan came we are in urgent need of support we are working to establish a masjid and dawah center in  norway to spread knowledge about islam to give dawah and to strengthen the iman of our youth
𝐃𝐎𝐍𝐓 𝐌𝐈𝐒𝐒 𝐎𝐔𝐓  this month is the best time to give sadaqah
if 𝐲𝐨𝐮 help us establish this masjid you will in sha get reward for all those who are
the reward for all these deeds and many more can be added to 𝐘𝐎𝐔𝐑 scale on the day of resurrection and all it takes is to help us establish this masjid 𝐃𝐎𝐍𝐓 𝐌𝐈𝐒𝐒 𝐎𝐔𝐓
 donate now",0
61,act now the world is watching in shock as the deadly coronavirus continues to spread the exact origins are unknown but its clear that the wildlife trade poses a dire threat to public health please help reduce the spread of disease by urging all countries to permanently ban the wildlife trade,1
62,watch the discussion on global nutrition and food security read more httpsbitlydevexsponsoredcare sponsored foodsecurity,0
63,to drop bombs on babies and expectant mothers is an act of cruelty for which there can be no justification,1
64,"theres no time left for promises climate change is already affecting us and getting worse but one solution can help right now protecting forests
thanks to you with our partners we have worked to protect millions of acres of forests over the last  years help us do more",1
65,"how are health and climate change connected watch our new video with professor gabrysch to find out more
check out our website for more information on global health research in germany",0
