,ad,scarcity,predictions
114,"this is a call for action no dogs left behind needs you we need your support now every penny counts one dollar makes a difference
we need you to donate now",0,1
36,committed to protecting our planet one journey at a time between 1990 and 2021 the number of miles driven on our roads increased by 29 swap your car for your bike for shorter journeys and help reduce greenhouse gasses that are stifling ourplanetitt is high time for a change let the bicycles replace the cars on the road on world car free day,1,1
77,"climate change the pandemic and unsustainable building materials have greatly impacted the housing market resulting in staggering house prices increased homelessness and a lack of community
thankfully geoship is here to change that our bioceramic domes are
 affordable
 sustainable
 communityoriented
 zero carbon",0,0
83,"stream now
having won over 22 international awards birth time the documentary is now available to stream right here anywhere anytime
exploring what it would take for women to emerge from their births feeling innately powerful physically well and emotionally safe
it’s time for women’s needs at birth to be heard itstime",1,1
41,"the number of outofschool children in south africa tripled during the covid19 pandemic
when classrooms are closed students miss out on more than learning – they miss out on nutritious food time with friends and a safety net",1,1
26,greedy corporations have turned our food system into a nightmare every day giant factory farms pump toxic pollution into our waterways and accelerate the climate crisis with tons of greenhouse gas emissions we need 218 more signatures on our new petition to help ban factory farming now but your signature is still missing please add your name now before the midnight deadline,1,1
6,it’s time for action elections are not won overnight winning in november starts with your support right here and right now,1,1
89,"thousands of children throughout the land of israel have been affected and traumatized by brutal terror attacks the shiloh israel children’s fund needs your help to provide cuttingedge therapies to heal children affected by terror
donate today to help the children of israel",1,0
33,"the most senior figures in the political and security establishments will take part in this year is inss annual conference
do not miss the year is most interesting event with fascinating speeches and panels that you will certainly want to hear on everything happening in israel and the region
so without delay sign up now for all the details and free registration ",1,1
63,watch the discussion on global nutrition and food security read more httpsbitlydevexsponsoredcare sponsored foodsecurity,1,0
101,"the ukrainian troops are now engaged in fierce combats for our freedom our brave guys get wounded and die on the battlefield the international charity organization dim initiated the purchasing of tactical firstaid kits which will help save many lives of our soldiers the fund is also actively buying personal protective equipment sleeping bags thermal underwear and other essentials for our army and territorial defense units
you may also be a part of this lifesaving process each and every penny collected by the fund goes directly to the ukrainian defenders support the ukrainian defenders glory to ukraine glory to the heroes",0,0
16,tightrope walk between jobs and environment  how to balance it together as india is economy emerges out of the covid19 slowdown a panel of experts finds solution,0,0
23,"this earth day comes after one of the hottest years ever on record
climate change is intensifying faster than before there is no planet b make an urgent gift to protect our future",1,1
82,"you can make a difference this year donate now and for a limited time your gift will have triple the impact to help millions of scared and abused animals who are suffering in silence right now
your gift makes you a member—a valuable part of our mission to help animals who have no voice and need us the most will you help",1,1
1,help give people without a home a chance to leave homelessness behind for good by taking on the,0,0
12,imagine carrying a heavy jug of water home knowing that after all your effort it might make your family sick safe water at home gives women and their families time and health empower women with safe water and you can change their world,0,0
80,urgent help us help them 40000 animals have arrived in poland alongside two million refugees from the ongoing conflict they were forced to flee their homes to survive our partner organisation toz  society for the prevention of cruelty to animals are doing the impossible to provide immediate help but they are low on funds these animals desperately need your help please donate today,0,1
110,sometimes the news can feel overwhelming  but there is something you can do to help this giving week help make good news for refugee and displaced families who are facing freezing conditions during the winter,1,0
17,branded and nonbranded clothing stocks and surplus 5 pieces to 5000 pieces we supply worldwide,0,0
66,"how are health and climate change connected watch our new video with professor gabrysch to find out more
check out our website for more information on global health research in germany",1,0
121,"blood donation saves lives
this cannot be said enough times
if you can please donate blood and share this story to raise awareness",1,0
56,watch the state of the european union live with european commission president ursula von der leyen at the european parliament and the reactions from members strongertogethereu,1,0
3,we have until march 31st to raise money for our final endofquarter goal before the primary election on june 7 your donation counts now more than ever so we can reach as many voters as possible before ballots go out in the mail,1,1
44,"djibouti faces extreme water scarcity exacerbated by population growth and climatechange
pastoral communities are taking action to build climate resilience",0,0
78,gain the essential mindset for the decade of climate action to stand out in the job market as a certified sustainabilitydriven leader,0,0
20,once the election is called youll only have seven days to register to vote or to update your enrolment if you are a firsttime voter head to wwwaecgovau to register to vote or check your enrolment and encourage your young friends and family to do the same this is really important,1,0
9,contact your ohio state legislators today and urge them to pass hb 235,1,1
60,live with pascal canfin chair of the parliament’s environment public health and food safety committee questions on the european green deal and the green recovery plans ask them below and stay tuned,0,0
48,horror is unfolding in southern madagascar the world must not look away if we don’t act now the number of people facing catastrophe will double will you donate to help save lives,0,1
28,we are about to hit our biggest deadline yet and right now brian kemp has outraised us donate now to close the gap,1,1
54,"battery summit 2021  free online conference
we invite everyone to discuss how batteries will promote competitive sustainability and why they are necessary for green transport clean energy and to achieve climate neutrality by 2050",0,0
87,"shelling killed her mother
without an urgent end to war in ukraine how many more innocent lives will be lost how many more children wounded or traumatized
sixyearold milana is recovering from surgery on her legs at a children is hospital in kyiv after being injured in an attack thanks to dedicated doctors her wounds will heal but the death of her mother will scar her for a lifetime
as unicef delivers lifesaving medical supplies to hospitals across ukraine children need peace now",0,1
39,"9yearold danylo is not only battling cancer but trying to survive through the war in ukraine
fleeing his home twice getting a blood transfusion in a bunker having microsurgery on his lung during the bombing and not knowing if he will get to poland in time for his next chemotherapy – none of it can take away danylo is strength and determination
“i am ready to fight for my life whether it is cancer or war”
children like danylo have no time to lose they need peace now",0,1
18,hon mike pence spoke at the world summit 2022 on the possibilities of the reunification on the korean peninsula he was joined by other world leaders who share the beliefs on peace and prosperity for all,0,0
100,"help odessa help ukraine
your donations go directly to the dedicated suppliers authorized by the ukranian government",1,0
68,the nature now camp is a mix of presentations and practical workshops where we deal with both facts concerns hope and action,0,0
105,"within a matter of months we’ve grown from caring for 1000 orphans to caring for 5000 orphans – alhamdulillah
by donating you can make a difference to an orphaned child’s life by giving them opportunities for education and providing for basic life essentialsfrom as little as 50 you can make an immense difference to the lives of orphans around the worldcontribute to our orphan support program today",1,0
104,"ukraine 850000 people internally displaced and almost 3 million people in need of humanitarian aid
please donate today to help us support displaced families with critical aid",0,1
29,we are about to hit our biggest deadline yet and weve set a 250000 goal chip in now to stand up to brian kemp  the gop,1,1
31,"ukraine needs your support
any donation you provide helps save ukraine and ukrainians it is time to support of peace and democracy",1,1
5,we have a huge fundraising deadline coming up on march 31 at midnight can you please make a contribution before our endofquarter deadline and help us take the lead in this race,1,1
97,"3 weeks of this unnecessary brutal and horrendous times
showing that the biggest world leaders who could stop this war are incapable and just dragging their feet
every dollar counts if you have anything to spare please donate
do not be like them solidarity is more than just pretty word and standing ovations",0,0
94,since our founding in 1919 we’ve worked tirelessly to provide vulnerable children with lifesaving assistance access to education quality health care and protection from exploitation,1,0
86,"education risks becoming the greatest divider not the greatest equalizer
covid19 school closures have compounded challenges for children who were already behind — pushing learning even further out of reach
they need support now",1,0
37,"every day thousands of girls become child brides  are forced to say “i do”
this valentinesday you can help them claim their right to say idontjoin unfpa to endchildmarriage and take action today  unfpavday",1,0
40,many neglected diseases are also climatesensitive the world’s most vulnerable populations will once again bear the biggest burden it’s time to develop safe effective and affordable treatments for the most neglected,1,0
19,2021 has been a recordbreaking year for antiabortion legislation — more than 100 abortion restrictions have been passed across the country it’s more urgent now than ever that we defend our reproductive freedom join the fight to protect abortion access,1,1
96,"are you interested in environmental crime
for all the latest news on this subject subscribe to the ambitus newsletter
each month find a selection of articles on the newsletter is only available in english at the moment 🇬🇧",0,0
